Calibration,1,17h43m46s," "," ",Calibration,2,17h44m31s," "," ",Calibration,3,17h45m24s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.517,630,630,,,0.502,625,625,,,0.502,841,841,,
1.021,671,650,,,1.003,622,623,,,1.008,835,838,,
1.523,854,742,,,1.505,850,737,,,1.51,841,841,,
2.025,850,740,,,2.006,854,739,,,2.013,837,839,,
2.526,852,741,,,2.506,854,739,,,2.517,839,840,,
3.028,857,743,,,3.025,850,737,,,3.018,841,841,,
3.53,855,742,,,3.543,856,740,,,3.52,841,841,,
Set 0,17h45m18s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,4.022,841,841,,
Trial,"Time, s",740,,,,,,,,4.523,840,840,,
2,0.0,743,,,,,,,,,,,,
3,0.0,743,,,,,,,,,,,,
6.037,856,743,,,,,,,,,,,,
6.539,857,743,,,,,,,,,,,,
7.04,853,741,,,,,,,,,,,,
7.541,854,742,,,,,,,,,,,,
