Calibration,1,18h16m13s," "," "
"Time, s",Light,Threshold,,
0.503,-50,281,,
1.021,612,612,,
1.54,611,611,,
2.04,614,613,,
2.54,615,613,,
3.041,596,604,,
3.544,591,601,,
4.059,592,602,,
4.565,594,603,,
5.066,594,603,,
5.568,593,602,,
6.069,593,602,,
6.571,593,602,,
7.072,593,602,,
7.574,593,602,,
8.075,593,602,,
8.577,593,602,,
9.078,593,602,,
9.58,593,602,,
10.081,592,602,,
10.588,593,602,,
11.089,593,602,,
11.59,593,602,,
12.093,592,602,,
12.593,592,602,,
13.097,593,602,,
13.603,592,602,,
14.109,592,602,,
14.613,592,602,,
15.114,593,602,,
15.616,592,602,,
16.117,593,602,,
16.619,592,602,,
17.12,593,602,,
17.622,592,602,,
18.123,592,602,,
18.625,592,602,,
19.126,592,602,,
19.628,592,602,,
20.129,592,602,,
20.631,593,602,,
21.133,593,602,,
21.634,593,602,,
22.136,593,602,,
22.637,593,602,,
23.139,593,602,,
23.639,593,602,,
24.139,593,602,,
24.639,593,602,,
25.139,593,602,,
25.64,593,602,,
26.148,593,602,,
26.649,593,602,,
27.151,592,602,,
27.652,593,602,,
28.154,593,602,,
28.655,593,602,,
29.157,593,602,,
29.659,592,602,,
30.16,593,602,,
30.661,593,602,,
31.163,593,602,,
31.664,592,602,,
32.166,592,602,,
32.667,592,602,,
33.169,593,602,,
33.67,592,602,,
34.172,592,602,,
34.673,592,602,,
35.175,592,602,,
35.676,592,602,,
36.178,592,602,,
36.679,592,602,,
37.186,592,602,,
37.689,592,602,,
38.189,592,602,,
38.69,592,602,,
39.19,592,602,,
39.706,593,602,,
40.206,593,602,,
40.707,593,602,,
41.207,593,602,,
41.708,593,602,,
42.208,593,602,,
42.723,593,602,,
43.226,593,602,,
43.741,593,602,,
44.242,593,602,,
44.757,593,602,,
45.259,593,602,,
45.764,593,602,,
46.27,594,603,,
46.772,594,603,,
47.274,594,603,,
47.775,594,603,,
48.277,594,603,,
48.778,594,603,,
49.28,593,602,,
49.781,594,603,,
50.283,593,602,,
50.785,593,602,,
51.286,593,602,,
51.787,593,602,,
52.289,593,602,,
52.791,593,602,,
53.292,593,602,,
53.793,593,602,,
54.295,593,602,,
54.796,593,602,,
55.302,593,602,,
55.802,593,602,,
56.321,593,602,,
56.84,593,602,,
57.34,593,602,,
57.855,593,602,,
58.371,593,602,,
58.887,593,602,,
59.388,593,602,,
59.89,593,602,,
60.39,593,602,,
60.891,593,602,,
61.399,593,602,,
61.902,593,602,,
62.404,593,602,,
62.905,593,602,,
63.407,592,602,,
63.909,589,600,,
64.41,572,592,,
64.911,500,556,,
65.413,443,527,,
65.914,430,521,,
66.416,428,520,,
66.917,427,519,,
67.419,427,519,,
67.92,426,519,,
68.422,427,519,,
68.923,426,519,,
69.425,426,519,,
69.927,426,519,,
70.428,426,519,,
70.93,426,519,,
71.431,426,519,,
71.933,426,519,,
72.433,426,519,,
72.935,425,518,,
73.436,425,518,,
73.936,425,518,,
74.437,425,518,,
74.952,425,518,,
75.452,424,518,,
75.952,424,518,,
76.453,424,518,,
76.953,424,518,,
77.472,423,517,,
77.976,423,517,,
78.494,423,517,,
79.01,423,517,,
79.525,422,517,,
80.04,422,517,,
80.541,422,517,,
81.056,422,517,,
81.557,421,516,,
82.076,421,516,,
82.595,421,516,,
83.11,420,516,,
83.625,421,516,,
84.14,422,517,,
84.641,423,517,,
85.156,423,517,,
85.662,423,517,,
86.166,423,517,,
86.674,423,517,,
87.178,423,517,,
87.679,423,517,,
88.181,423,517,,
88.682,422,517,,
89.184,423,517,,
89.685,422,517,,
90.187,422,517,,
90.688,422,517,,
91.19,421,516,,
91.691,421,516,,
92.192,421,516,,
92.694,421,516,,
93.196,421,516,,
93.697,420,516,,
94.199,421,516,,
94.7,421,516,,
95.201,421,516,,
95.702,421,516,,
96.202,421,516,,
96.721,420,516,,
97.24,420,516,,
97.741,420,516,,
98.248,420,516,,
98.75,420,516,,
99.252,419,515,,
99.753,419,515,,
100.255,418,515,,
100.757,416,514,,
101.258,414,513,,
101.759,417,514,,
102.261,417,514,,
102.762,417,514,,
103.264,417,514,,
103.765,417,514,,
104.267,417,514,,
104.768,417,514,,
105.27,417,514,,
105.772,417,514,,
106.272,417,514,,
106.774,417,514,,
107.276,417,514,,
107.792,417,514,,
108.295,416,514,,
108.795,416,514,,
109.298,416,514,,
109.799,416,514,,
110.3,415,513,,
110.802,414,513,,
111.303,414,513,,
111.805,413,512,,
112.305,413,512,,
112.807,415,513,,
113.308,416,514,,
113.811,416,514,,
114.313,416,514,,
114.814,416,514,,
115.316,416,514,,
115.817,416,514,,
116.319,416,514,,
116.82,416,514,,
117.322,416,514,,
117.823,416,514,,
118.325,416,514,,
118.826,416,514,,
119.328,415,513,,
119.829,415,513,,
120.331,416,514,,
120.832,415,513,,
121.334,415,513,,
121.835,415,513,,
122.337,415,513,,
122.838,415,513,,
123.339,414,513,,
123.841,414,513,,
124.343,414,513,,
124.844,414,513,,
125.345,414,513,,
125.848,414,513,,
126.349,414,513,,
126.851,414,513,,
127.352,414,513,,
127.853,414,513,,
128.355,414,513,,
128.855,414,513,,
129.355,414,513,,
129.856,414,513,,
130.358,414,513,,
130.864,414,513,,
131.365,414,513,,
131.866,413,512,,
132.368,410,511,,
132.869,409,510,,
133.371,409,510,,
133.873,409,510,,
134.374,408,510,,
134.876,409,510,,
135.377,409,510,,
135.879,409,510,,
136.38,409,510,,
136.882,409,510,,
137.382,409,510,,
137.885,409,510,,
138.387,408,510,,
138.888,408,510,,
Set 0,18h22m33s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.0,,,
2,65.772,,,
3,65.772,,,
4,0.0,,,
5,0.0,,,
6,64.094,,,
7,64.094,,,
8,0.0,,,
9,0.0,,,
10,0.0,,,
11,0.0,,,
12,0.0,,,
13,44.423,,,
14,44.423,,,
