Calibration,1,14h35m39s," "," ",Calibration,2,14h36m6s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.528,772,361,,,0.515,825,825,,
1.034,772,361,,,1.016,825,825,,
1.538,771,360,,,1.517,821,823,,
2.041,706,328,,,2.02,820,822,,
2.546,765,357,,,2.52,824,824,,
3.051,760,355,,,3.02,824,824,,
3.556,701,325,,,3.535,817,821,,
4.057,649,299,,,4.037,647,736,,
4.558,630,290,,,4.552,552,688,,
5.061,628,289,,,5.052,682,753,,
5.576,671,310,,,5.571,719,772,,
6.077,770,360,,,6.09,738,781,,
6.592,770,360,,,6.605,723,774,,
7.092,769,359,,,7.111,714,769,,
7.612,767,358,,,7.611,781,803,,
8.13,765,357,,,8.117,821,823,,
8.63,764,357,,,8.618,822,823,,
9.145,734,342,,,9.122,818,821,,
9.661,766,358,,,9.627,822,823,,
10.161,770,360,,,10.133,767,796,,
10.661,754,352,,,10.64,763,794,,
11.161,786,368,,,11.144,770,797,,
11.662,828,389,,,11.647,773,799,,
12.178,831,390,,,12.15,771,798,,
12.693,824,387,,,12.65,771,798,,
13.212,826,388,,,13.154,773,799,,
13.73,829,389,,,13.654,772,798,,
14.245,831,390,,,14.155,773,799,,
Set 0,14h36m24s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,
Trial,"Time, s",390,,,,,,,
1,0.004,389,,,,,,,
2,0.0,389,,,,,,,
3,0.0,,,,,,,,
