Calibration,1,20h17m30s," "," "
"Time, s",Light,Threshold,,
0.508,284,280,,
1.01,478,377,,
1.516,540,408,,
2.021,217,246,,
2.524,50,163,,
3.03,150,213,,
3.534,197,236,,
4.037,335,305,,
4.541,51,163,,
5.045,418,347,,
5.548,97,186,,
6.051,465,370,,
6.553,60,168,,
7.055,442,359,,
7.558,54,165,,
8.061,477,376,,
8.564,486,381,,
9.067,597,436,,
9.57,600,438,,
10.073,597,436,,
10.575,596,436,,
11.077,319,297,,
11.578,118,197,,
12.079,39,157,,
12.583,38,157,,
13.084,37,156,,
Set 0,20h17m49s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.0,,,
2,0.554,,,
3,0.554,,,
