Calibration,1,21h50m12s," "," ",Calibration,2,21h50m27s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.509,735,736,,,0.503,736,736,,
1.015,485,611,,,1.008,735,735,,
1.52,103,420,,,1.513,731,733,,
2.025,106,422,,,2.016,729,732,,
2.527,36,387,,,2.521,730,733,,
3.029,41,389,,,3.022,730,733,,
3.531,47,392,,,3.524,727,731,,
4.035,48,393,,,4.026,727,731,,
4.54,105,421,,,4.528,512,624,,
5.042,327,532,,,5.031,357,546,,
5.546,351,544,,,5.536,257,496,,
6.051,333,535,,,6.04,257,496,,
6.555,167,452,,,6.544,203,469,,
7.062,94,416,,,7.048,184,460,,
7.566,94,416,,,7.553,162,449,,
8.07,96,417,,,8.057,141,438,,
8.573,96,417,,,8.558,129,432,,
9.076,96,417,,,9.06,40,388,,
9.578,96,417,,,9.564,33,384,,
,,,,,10.065,142,439,,
,,,,,10.567,61,398,,
,,,,,11.069,40,388,,
,,,,,11.571,25,380,,
,,,,,12.073,29,382,,
,,,,,12.577,44,390,,
,,,,,13.082,50,393,,
,,,,,13.585,49,392,,
,,,,,14.087,47,391,,
,,,,,14.59,46,391,,
,,,,,15.092,68,402,,
,,,,,15.596,178,457,,
,,,,,16.1,185,460,,
,,,,,16.604,183,459,,
,,,,,17.108,52,394,,
,,,,,17.613,53,394,,
,,,,,18.117,52,394,,
,,,,,18.619,54,395,,
,,,,,19.124,84,410,,
,,,,,19.628,82,409,,
,,,,,20.131,81,408,,
,,,,,20.633,80,408,,
,,,,,21.135,80,408,,
,,,,,21.637,186,461,,
,,,,,22.14,350,543,,
,,,,,22.642,336,536,,
,,,,,23.145,129,432,,
,,,,,23.647,121,428,,
,,,,,24.149,122,429,,
,,,,,24.651,121,428,,
