Calibration,1,23h20m40s," "," "
"Time, s",Light,Threshold,,
0.509,-50,-50,,
1.016,454,202,,
1.52,338,144,,
2.025,266,108,,
2.529,278,114,,
3.032,214,82,,
3.537,200,75,,
4.041,204,77,,
4.545,206,78,,
5.049,208,79,,
5.552,194,72,,
6.055,182,66,,
6.561,182,66,,
7.063,232,91,,
7.567,188,69,,
8.072,182,66,,
8.576,172,61,,
9.077,154,52,,
9.582,156,53,,
10.087,154,52,,
10.593,148,49,,
Set 0,23h20m56s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,2.206,,,
2,2.206,,,
Set 1,23h21m13s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,6.59,,,
2,6.59,,,
