Calibration,1,23h46m50s," "," ",Calibration,2,23h47m33s," "," ",Calibration,3,23h48m32s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.511,348,347,,,0.505,460,447,,,0.504,224,224,,
1.014,366,356,,,1.008,256,345,,,1.008,64,144,,
1.519,306,326,,,1.512,192,313,,,1.515,50,137,,
2.026,268,307,,,2.017,74,254,,,2.017,42,133,,
2.528,234,290,,,2.522,76,255,,,2.519,40,132,,
3.033,138,242,,,3.027,254,344,,,3.036,40,132,,
3.539,128,237,,,3.531,112,273,,,3.538,40,132,,
4.042,88,217,,,4.035,84,259,,,4.045,38,131,,
4.547,72,209,,,4.538,376,405,,,4.549,38,131,,
5.053,68,207,,,5.042,240,337,,,5.051,38,131,,
5.559,64,205,,,5.549,236,335,,,5.554,40,132,,
Set 0,23h47m4s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",6.051,226,330,,,6.06,40,132,,
Trial,"Time, s",,,,6.553,122,278,,,6.565,38,131,,
1,8.583,,,,7.056,92,263,,,7.074,38,131,,
8,0.0,,,,7.557,92,263,,,,,,,
9,4.958,,,,8.062,88,261,,,,,,,
10,3.589,,,,,,,,,,,,,
11,3.589,,,,,,,,,,,,,
6,1.911,,,,,,,,,,,,,
7,4.205,,,,,,,,,,,,,
