Set 0,16h54m6s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,Time,Time,Time,Time,Time,Time
Trial,"Time, s",,,,,,,,,0.001,346,0.0,308,0.0,334
1,3.559,,,,,,,,,0.009,346,0.004,308,0.004,334
2,3.559,,,,,,,,,0.026,348,0.021,308,0.023,334
3,2.571,,,,,,,,,0.042,350,0.036,308,0.039,334
4,2.571,,,,,,,,,0.059,352,0.055,308,0.055,330
5,1.839,,,,,,,,,0.076,354,0.071,314,0.072,326
6,1.839,,,,,,,,,0.093,354,0.087,318,0.088,326
,,,,,,,,,,0.109,354,0.105,322,0.105,332
,,,,,,,,,,0.126,352,0.122,324,0.122,334
,,,,,,,,,,0.142,354,0.138,326,0.138,336
,,,,,,,,,,0.159,354,0.155,330,0.155,338
,,,,,,,,,,0.175,354,0.171,334,0.171,342
,,,,,,,,,,0.192,354,0.189,336,0.189,342
,,,,,,,,,,0.208,356,0.205,336,0.205,344
,,,,,,,,,,0.225,356,0.221,336,0.222,344
,,,,,,,,,,0.242,356,0.238,334,0.239,344
,,,,,,,,,,0.258,356,0.254,334,0.256,344
,,,,,,,,,,0.275,356,0.272,332,0.272,344
,,,,,,,,,,0.292,356,0.289,334,0.289,344
,,,,,,,,,,0.309,356,0.306,336,0.305,344
,,,,,,,,,,0.325,354,0.321,338,0.322,344
,,,,,,,,,,0.342,356,0.338,340,0.338,344
,,,,,,,,,,0.359,356,0.355,340,0.355,344
,,,,,,,,,,0.376,356,0.371,342,0.371,344
,,,,,,,,,,0.392,356,0.388,340,0.389,346
,,,,,,,,,,0.408,356,0.405,338,0.405,346
,,,,,,,,,,0.425,356,0.421,336,0.423,346
,,,,,,,,,,0.442,354,0.439,334,0.438,346
,,,,,,,,,,0.459,354,0.454,336,0.455,344
,,,,,,,,,,0.476,354,0.471,336,0.472,346
,,,,,,,,,,0.492,354,0.487,338,0.489,344
,,,,,,,,,,0.508,354,0.505,340,0.505,344
,,,,,,,,,,0.525,354,0.522,342,0.521,344
,,,,,,,,,,0.542,354,0.538,340,0.538,346
,,,,,,,,,,0.558,354,0.555,338,0.554,346
,,,,,,,,,,0.575,354,0.572,338,0.572,346
,,,,,,,,,,0.592,354,0.588,336,0.588,346
,,,,,,,,,,0.609,354,0.604,336,0.605,346
,,,,,,,,,,0.625,352,0.622,338,0.622,344
,,,,,,,,,,0.642,354,0.638,338,0.639,346
,,,,,,,,,,0.658,354,0.655,340,0.654,346
,,,,,,,,,,0.675,354,0.671,340,0.671,344
,,,,,,,,,,0.692,352,0.689,340,0.688,346
,,,,,,,,,,0.708,352,0.705,338,0.705,346
,,,,,,,,,,0.726,352,0.722,336,0.722,346
,,,,,,,,,,0.742,354,0.738,336,0.739,346
,,,,,,,,,,0.758,352,0.754,334,0.755,346
,,,,,,,,,,0.775,352,0.772,334,0.771,346
,,,,,,,,,,0.791,352,0.788,336,0.789,346
,,,,,,,,,,0.809,352,0.806,336,0.806,346
,,,,,,,,,,0.825,352,0.822,336,0.822,346
,,,,,,,,,,0.842,352,0.838,338,0.839,346
,,,,,,,,,,0.859,352,0.855,336,0.855,346
,,,,,,,,,,0.875,350,0.872,336,0.872,346
,,,,,,,,,,0.891,352,0.888,334,0.888,346
,,,,,,,,,,0.908,352,0.904,334,0.905,346
,,,,,,,,,,0.926,352,0.922,334,0.921,346
,,,,,,,,,,0.941,350,0.939,332,0.938,346
,,,,,,,,,,0.958,350,0.955,334,0.955,346
,,,,,,,,,,0.975,350,0.971,334,0.972,346
,,,,,,,,,,0.991,350,0.989,336,0.988,346
,,,,,,,,,,1.008,350,1.005,336,1.005,344
,,,,,,,,,,1.026,350,1.022,336,1.021,346
,,,,,,,,,,1.041,350,1.038,334,1.039,344
,,,,,,,,,,1.058,350,1.055,334,1.055,344
,,,,,,,,,,1.075,348,1.071,332,1.071,346
,,,,,,,,,,1.091,350,1.088,332,1.087,344
,,,,,,,,,,1.108,350,1.105,332,1.106,344
,,,,,,,,,,1.125,350,1.122,334,1.121,344
,,,,,,,,,,1.142,348,1.138,334,1.139,344
,,,,,,,,,,1.158,350,1.155,334,1.155,344
,,,,,,,,,,1.176,348,1.171,334,1.172,344
,,,,,,,,,,1.191,350,1.188,334,1.189,344
,,,,,,,,,,1.209,348,1.204,332,1.205,342
,,,,,,,,,,1.225,348,1.221,332,1.222,344
,,,,,,,,,,1.242,348,1.239,332,1.238,342
,,,,,,,,,,1.259,348,1.255,332,1.255,342
,,,,,,,,,,1.276,348,1.272,334,1.271,342
,,,,,,,,,,1.292,348,1.289,334,1.288,342
,,,,,,,,,,1.308,348,1.305,334,1.305,344
,,,,,,,,,,1.327,348,1.321,334,1.321,342
,,,,,,,,,,1.342,348,1.337,334,1.339,342
,,,,,,,,,,1.359,348,1.354,334,1.354,342
,,,,,,,,,,1.375,348,1.371,332,1.372,342
,,,,,,,,,,1.392,346,1.388,332,1.389,342
,,,,,,,,,,1.409,348,1.406,332,1.405,340
,,,,,,,,,,1.426,348,1.421,332,1.422,340
,,,,,,,,,,1.441,348,1.438,332,1.437,340
,,,,,,,,,,1.458,348,1.454,332,1.456,338
,,,,,,,,,,1.476,348,1.472,332,1.472,336
,,,,,,,,,,1.492,348,1.488,332,1.488,334
,,,,,,,,,,1.51,348,1.505,332,1.504,332
,,,,,,,,,,1.525,348,1.522,332,1.522,330
,,,,,,,,,,1.543,348,1.539,332,1.537,328
,,,,,,,,,,1.559,348,1.555,330,1.556,324
,,,,,,,,,,1.575,346,1.572,330,1.572,322
,,,,,,,,,,1.591,346,1.589,330,1.589,310
,,,,,,,,,,1.609,346,1.605,332,1.605,288
,,,,,,,,,,1.626,346,1.621,332,1.623,250
,,,,,,,,,,1.642,346,1.639,332,1.639,204
,,,,,,,,,,1.658,346,1.656,330,1.656,176
,,,,,,,,,,1.675,346,1.672,330,1.672,160
,,,,,,,,,,1.692,344,1.689,330,1.688,152
,,,,,,,,,,1.71,346,1.705,330,1.706,140
,,,,,,,,,,1.726,344,1.721,330,1.722,132
,,,,,,,,,,1.742,344,1.737,328,1.739,124
,,,,,,,,,,1.759,344,1.755,328,1.756,118
,,,,,,,,,,1.775,342,1.772,328,1.772,112
,,,,,,,,,,1.793,342,1.789,326,1.788,106
,,,,,,,,,,1.809,342,1.805,326,1.806,100
,,,,,,,,,,1.826,342,1.822,324,1.821,94
,,,,,,,,,,1.843,340,1.838,324,1.839,90
,,,,,,,,,,1.858,340,1.854,322,1.839,86
,,,,,,,,,,1.876,340,1.872,322,1.839,86
