Set 0,18h22m9s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,Time,ThreshHold,,Time,ThreshHold
Trial,"Time, s",,,,,,,,,0.001,242,,0.001,256
1,2.904,,,,,,,,,0.019,242,,0.014,256
2,2.904,,,,,,,,,0.037,242,,0.032,256
3,1.499,,,,,,,,,0.053,240,,0.049,258
4,1.499,,,,,,,,,0.068,238,,0.065,258
,,,,,,,,,,0.086,238,,0.081,258
,,,,,,,,,,0.103,238,,0.099,258
,,,,,,,,,,0.119,238,,0.115,256
,,,,,,,,,,0.136,240,,0.132,256
,,,,,,,,,,0.153,240,,0.149,254
,,,,,,,,,,0.169,242,,0.165,252
,,,,,,,,,,0.187,242,,0.182,252
,,,,,,,,,,0.204,242,,0.199,248
,,,,,,,,,,0.219,244,,0.214,246
,,,,,,,,,,0.237,242,,0.232,246
,,,,,,,,,,0.253,242,,0.248,246
,,,,,,,,,,0.269,242,,0.264,246
,,,,,,,,,,0.286,242,,0.282,244
,,,,,,,,,,0.304,242,,0.298,244
,,,,,,,,,,0.32,242,,0.315,242
,,,,,,,,,,0.336,242,,0.331,240
,,,,,,,,,,0.353,242,,0.348,238
,,,,,,,,,,0.37,242,,0.365,234
,,,,,,,,,,0.387,242,,0.381,232
,,,,,,,,,,0.403,242,,0.398,230
,,,,,,,,,,0.42,244,,0.415,228
,,,,,,,,,,0.437,242,,0.432,224
,,,,,,,,,,0.452,242,,0.448,224
,,,,,,,,,,0.47,244,,0.464,222
,,,,,,,,,,0.487,244,,0.481,220
,,,,,,,,,,0.503,244,,0.498,220
,,,,,,,,,,0.519,242,,0.514,222
,,,,,,,,,,0.536,242,,0.532,222
,,,,,,,,,,0.553,242,,0.548,222
,,,,,,,,,,0.569,242,,0.564,222
,,,,,,,,,,0.586,240,,0.581,222
,,,,,,,,,,0.603,240,,0.598,224
,,,,,,,,,,0.62,242,,0.614,224
,,,,,,,,,,0.636,242,,0.632,226
,,,,,,,,,,0.654,242,,0.648,226
,,,,,,,,,,0.67,240,,0.665,226
,,,,,,,,,,0.686,242,,0.682,228
,,,,,,,,,,0.704,240,,0.699,228
,,,,,,,,,,0.72,242,,0.715,228
,,,,,,,,,,0.737,242,,0.731,228
,,,,,,,,,,0.753,240,,0.748,228
,,,,,,,,,,0.77,240,,0.764,228
,,,,,,,,,,0.786,240,,0.781,228
,,,,,,,,,,0.803,240,,0.798,230
,,,,,,,,,,0.819,240,,0.815,228
,,,,,,,,,,0.836,238,,0.832,230
,,,,,,,,,,0.853,238,,0.849,228
,,,,,,,,,,0.87,238,,0.865,228
,,,,,,,,,,0.887,240,,0.881,228
,,,,,,,,,,0.904,238,,0.899,228
,,,,,,,,,,0.92,238,,0.914,228
,,,,,,,,,,0.937,238,,0.931,226
,,,,,,,,,,0.952,238,,0.949,226
,,,,,,,,,,0.971,238,,0.964,226
,,,,,,,,,,0.987,238,,0.982,224
,,,,,,,,,,1.003,238,,0.999,224
,,,,,,,,,,1.019,238,,1.015,222
,,,,,,,,,,1.036,238,,1.032,222
,,,,,,,,,,1.053,238,,1.049,218
,,,,,,,,,,1.07,238,,1.064,216
,,,,,,,,,,1.086,238,,1.082,214
,,,,,,,,,,1.103,238,,1.098,210
,,,,,,,,,,1.12,238,,1.114,208
,,,,,,,,,,1.136,236,,1.131,204
,,,,,,,,,,1.153,236,,1.149,202
,,,,,,,,,,1.17,236,,1.165,198
,,,,,,,,,,1.186,234,,1.181,196
,,,,,,,,,,1.204,234,,1.199,194
,,,,,,,,,,1.22,234,,1.214,190
,,,,,,,,,,1.237,232,,1.232,178
,,,,,,,,,,1.253,230,,1.248,164
,,,,,,,,,,1.269,228,,1.265,152
,,,,,,,,,,1.286,226,,1.281,140
,,,,,,,,,,1.303,226,,1.298,134
,,,,,,,,,,1.32,226,,1.314,130
,,,,,,,,,,1.336,228,,1.331,126
,,,,,,,,,,1.352,228,,1.348,126
,,,,,,,,,,1.37,228,,1.366,122
,,,,,,,,,,1.387,230,,1.382,124
,,,,,,,,,,1.403,230,,1.399,130
,,,,,,,,,,1.42,230,,1.415,134
,,,,,,,,,,1.437,230,,1.432,128
,,,,,,,,,,1.453,230,,1.448,118
,,,,,,,,,,1.47,230,,1.464,104
,,,,,,,,,,1.487,230,,1.482,94
,,,,,,,,,,1.505,230,,1.499,86
,,,,,,,,,,1.52,228,,1.499,82
,,,,,,,,,,1.536,228,,1.499,76
,,,,,,,,,,1.552,230,,1.499,74
,,,,,,,,,,1.57,230,,1.499,72
,,,,,,,,,,1.587,230,,1.499,68
,,,,,,,,,,1.602,230,,1.499,66
,,,,,,,,,,1.62,230,,1.499,64
,,,,,,,,,,1.636,230,,1.499,62
,,,,,,,,,,1.653,232,,1.499,60
,,,,,,,,,,1.67,232,,1.499,58
,,,,,,,,,,1.686,232,,1.499,58
,,,,,,,,,,1.704,232,,1.499,56
,,,,,,,,,,1.72,232,,1.499,56
,,,,,,,,,,1.736,232,,1.499,56
,,,,,,,,,,1.753,232,,1.499,56
,,,,,,,,,,1.77,232,,1.499,56
,,,,,,,,,,1.786,232,,1.499,54
,,,,,,,,,,1.804,234,,1.499,54
,,,,,,,,,,1.821,234,,1.499,54
,,,,,,,,,,1.836,234,,1.499,54
,,,,,,,,,,1.854,234,,1.499,54
,,,,,,,,,,1.87,234,,1.499,54
,,,,,,,,,,1.889,234,,1.499,58
,,,,,,,,,,1.904,232,,1.499,58
,,,,,,,,,,1.92,232,,1.499,62
,,,,,,,,,,1.936,232,,1.499,62
,,,,,,,,,,1.953,232,,1.499,66
,,,,,,,,,,1.971,232,,1.499,68
,,,,,,,,,,1.987,232,,1.499,74
,,,,,,,,,,2.004,230,,1.499,80
,,,,,,,,,,2.02,230,,1.499,88
,,,,,,,,,,2.037,230,,1.499,94
,,,,,,,,,,2.053,230,,1.499,104
,,,,,,,,,,2.071,230,,1.499,114
,,,,,,,,,,2.087,230,,1.499,128
,,,,,,,,,,2.104,230,,1.499,142
,,,,,,,,,,2.12,230,,1.499,154
,,,,,,,,,,2.137,230,,1.499,192
,,,,,,,,,,2.154,230,,1.499,214
,,,,,,,,,,2.17,230,,1.499,222
,,,,,,,,,,2.187,228,,1.499,226
,,,,,,,,,,2.204,228,,1.499,230
,,,,,,,,,,2.22,230,,1.499,230
,,,,,,,,,,2.237,230,,1.499,232
,,,,,,,,,,2.254,228,,1.499,234
,,,,,,,,,,2.27,228,,1.499,234
,,,,,,,,,,2.287,228,,1.499,234
,,,,,,,,,,2.303,228,,1.499,236
,,,,,,,,,,2.32,226,,1.499,236
,,,,,,,,,,2.337,226,,1.499,236
,,,,,,,,,,2.354,226,,1.499,238
,,,,,,,,,,2.37,224,,1.499,236
,,,,,,,,,,2.387,224,,1.499,238
,,,,,,,,,,2.403,222,,1.499,238
,,,,,,,,,,2.42,220,,1.499,240
,,,,,,,,,,2.437,218,,1.499,238
,,,,,,,,,,2.454,218,,1.499,238
,,,,,,,,,,2.47,216,,1.499,238
,,,,,,,,,,2.487,214,,1.499,238
,,,,,,,,,,2.504,212,,1.499,240
,,,,,,,,,,2.52,210,,1.499,238
,,,,,,,,,,2.538,206,,1.499,238
,,,,,,,,,,2.554,204,,1.499,240
,,,,,,,,,,2.57,198,,1.499,240
