Set 0,18h23m44s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,Time,ThreshHold,,Time,ThreshHold,,Time,ThreshHold,,Time,ThreshHold
Trial,"Time, s",,,,,,,,,0.001,242,,0.001,254,,0.0,240,,,
1,2.297,,,,,,,,,0.018,248,,0.014,252,,0.013,246,,0.0,258
2,2.297,,,,,,,,,0.036,248,,0.032,252,,0.031,244,,0.013,256
3,2.348,,,,,,,,,0.052,246,,0.049,252,,0.046,242,,0.031,254
4,2.348,,VOID,,,,,,,0.07,244,,0.066,252,,0.064,242,,0.048,258
5,1.448,,,,,,,,,0.085,242,,0.081,254,,0.081,242,,0.064,260
6,1.448,,,,,,,,,0.102,238,,0.098,256,,0.097,240,,0.082,258
Set 1,18h24m16s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,0.12,236,,0.115,256,,0.114,240,,0.097,256
Trial,"Time, s",,,,,,,,,0.135,236,,0.131,254,,0.13,242,,0.115,256
1,1.83,,,,,,,,,0.152,238,,0.148,254,,0.147,240,,0.132,256
2,1.83,,,,,,,,,0.169,238,,0.166,250,,0.166,240,,0.147,254
,,,,,,,,,,0.186,238,,0.182,248,,0.18,238,,0.165,252
,,,,,,,,,,0.202,238,,0.199,246,,0.196,236,,0.18,246
,,,,,,,,,,0.219,240,,0.216,248,,0.213,236,,0.199,244
,,,,,,,,,,0.235,240,,0.232,246,,0.23,236,,0.213,242
,,,,,,,,,,0.253,242,,0.249,246,,0.247,236,,0.231,242
,,,,,,,,,,0.269,242,,0.266,246,,0.264,234,,0.248,240
,,,,,,,,,,0.285,242,,0.281,244,,0.281,234,,0.266,240
,,,,,,,,,,0.301,242,,0.299,244,,0.298,234,,0.282,240
,,,,,,,,,,0.319,244,,0.316,244,,0.314,232,,0.297,240
,,,,,,,,,,0.336,244,,0.332,244,,0.331,232,,0.315,240
,,,,,,,,,,0.352,242,,0.348,244,,0.346,230,,0.33,240
,,,,,,,,,,0.369,244,,0.366,246,,0.364,230,,0.348,238
,,,,,,,,,,0.385,244,,0.381,244,,0.381,228,,0.365,238
,,,,,,,,,,0.402,244,,0.399,246,,0.396,228,,0.381,240
,,,,,,,,,,0.419,244,,0.415,246,,0.414,226,,0.399,238
,,,,,,,,,,0.436,244,,0.432,246,,0.43,226,,0.414,238
,,,,,,,,,,0.452,242,,0.449,246,,0.447,226,,0.432,238
,,,,,,,,,,0.469,244,,0.465,244,,0.465,226,,0.448,238
,,,,,,,,,,0.486,244,,0.482,244,,0.481,226,,0.465,238
,,,,,,,,,,0.502,244,,0.499,246,,0.497,224,,0.481,238
,,,,,,,,,,0.519,244,,0.516,246,,0.513,224,,0.498,238
,,,,,,,,,,0.536,244,,0.532,246,,0.53,222,,0.513,238
,,,,,,,,,,0.552,246,,0.549,244,,0.547,222,,0.531,236
,,,,,,,,,,0.57,244,,0.565,244,,0.563,220,,0.548,236
,,,,,,,,,,0.586,244,,0.582,244,,0.581,220,,0.563,238
,,,,,,,,,,0.603,244,,0.597,244,,0.597,218,,0.581,236
,,,,,,,,,,0.619,244,,0.616,242,,0.614,216,,0.597,238
,,,,,,,,,,0.636,244,,0.633,242,,0.63,214,,0.615,236
,,,,,,,,,,0.652,244,,0.65,240,,0.647,212,,0.632,236
,,,,,,,,,,0.669,244,,0.666,240,,0.663,212,,0.647,234
,,,,,,,,,,0.686,244,,0.683,238,,0.68,212,,0.664,232
,,,,,,,,,,0.702,246,,0.699,236,,0.697,212,,0.681,230
,,,,,,,,,,0.719,246,,0.715,234,,0.714,214,,0.697,228
,,,,,,,,,,0.735,248,,0.733,232,,0.73,214,,0.714,228
,,,,,,,,,,0.752,246,,0.749,230,,0.746,216,,0.731,228
,,,,,,,,,,0.769,246,,0.766,226,,0.763,216,,0.748,226
,,,,,,,,,,0.785,248,,0.783,224,,0.781,218,,0.765,224
,,,,,,,,,,0.802,248,,0.799,224,,0.797,218,,0.781,224
,,,,,,,,,,0.819,248,,0.816,222,,0.814,218,,0.797,224
,,,,,,,,,,0.836,246,,0.832,220,,0.83,220,,0.813,222
,,,,,,,,,,0.852,248,,0.848,218,,0.848,220,,0.831,220
,,,,,,,,,,0.869,248,,0.866,216,,0.863,220,,0.848,218
,,,,,,,,,,0.885,248,,0.881,216,,0.88,220,,0.864,216
,,,,,,,,,,0.902,248,,0.899,218,,0.898,222,,0.881,216
,,,,,,,,,,0.919,248,,0.916,216,,0.914,222,,0.897,212
