Set 0,18h26m33s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,Time,ThreshHold
Trial,"Time, s",,,,,,,,,0.001,252
1,3.785,,,,,,,,,0.017,252
2,3.785,,,,,,,,,0.034,248
,,,,,,,,,,0.052,248
,,,,,,,,,,0.067,246
,,,,,,,,,,0.083,250
,,,,,,,,,,0.101,246
,,,,,,,,,,0.117,242
,,,,,,,,,,0.135,240
,,,,,,,,,,0.15,236
,,,,,,,,,,0.167,236
,,,,,,,,,,0.185,232
,,,,,,,,,,0.2,230
,,,,,,,,,,0.216,230
,,,,,,,,,,0.234,228
,,,,,,,,,,0.251,224
,,,,,,,,,,0.267,222
,,,,,,,,,,0.284,218
,,,,,,,,,,0.3,214
,,,,,,,,,,0.317,212
,,,,,,,,,,0.334,212
,,,,,,,,,,0.351,210
,,,,,,,,,,0.367,212
,,,,,,,,,,0.384,210
,,,,,,,,,,0.401,212
,,,,,,,,,,0.418,212
,,,,,,,,,,0.435,212
,,,,,,,,,,0.451,212
,,,,,,,,,,0.467,212
,,,,,,,,,,0.484,212
,,,,,,,,,,0.5,210
,,,,,,,,,,0.517,210
,,,,,,,,,,0.534,210
,,,,,,,,,,0.55,210
,,,,,,,,,,0.567,208
,,,,,,,,,,0.584,208
,,,,,,,,,,0.602,208
,,,,,,,,,,0.618,208
,,,,,,,,,,0.634,212
,,,,,,,,,,0.65,210
,,,,,,,,,,0.669,212
,,,,,,,,,,0.684,212
,,,,,,,,,,0.7,212
,,,,,,,,,,0.717,214
,,,,,,,,,,0.734,214
,,,,,,,,,,0.751,214
,,,,,,,,,,0.767,214
,,,,,,,,,,0.784,216
,,,,,,,,,,0.8,216
,,,,,,,,,,0.819,216
,,,,,,,,,,0.834,216
,,,,,,,,,,0.852,216
,,,,,,,,,,0.867,216
,,,,,,,,,,0.883,214
,,,,,,,,,,0.9,214
,,,,,,,,,,0.916,214
,,,,,,,,,,0.935,214
,,,,,,,,,,0.95,214
,,,,,,,,,,0.968,214
,,,,,,,,,,0.984,216
,,,,,,,,,,1.002,214
,,,,,,,,,,1.017,214
,,,,,,,,,,1.034,212
,,,,,,,,,,1.052,214
,,,,,,,,,,1.067,212
,,,,,,,,,,1.084,212
,,,,,,,,,,1.1,214
,,,,,,,,,,1.118,214
,,,,,,,,,,1.134,214
,,,,,,,,,,1.152,214
,,,,,,,,,,1.168,214
,,,,,,,,,,1.185,214
,,,,,,,,,,1.2,214
,,,,,,,,,,1.218,214
,,,,,,,,,,1.235,214
,,,,,,,,,,1.25,212
,,,,,,,,,,1.269,212
,,,,,,,,,,1.284,212
,,,,,,,,,,1.3,210
,,,,,,,,,,1.317,210
,,,,,,,,,,1.334,210
,,,,,,,,,,1.351,210
,,,,,,,,,,1.368,210
,,,,,,,,,,1.385,210
,,,,,,,,,,1.401,210
,,,,,,,,,,1.418,210
,,,,,,,,,,1.435,210
,,,,,,,,,,1.452,210
,,,,,,,,,,1.468,210
,,,,,,,,,,1.483,210
,,,,,,,,,,1.5,210
,,,,,,,,,,1.518,210
,,,,,,,,,,1.534,210
,,,,,,,,,,1.552,210
,,,,,,,,,,1.568,210
,,,,,,,,,,1.585,212
,,,,,,,,,,1.602,212
,,,,,,,,,,1.619,212
,,,,,,,,,,1.635,212
,,,,,,,,,,1.652,212
,,,,,,,,,,1.667,214
,,,,,,,,,,1.685,212
,,,,,,,,,,1.701,214
,,,,,,,,,,1.717,214
,,,,,,,,,,1.734,214
,,,,,,,,,,1.751,214
,,,,,,,,,,1.768,216
,,,,,,,,,,1.785,214
,,,,,,,,,,1.8,214
,,,,,,,,,,1.818,216
,,,,,,,,,,1.834,216
,,,,,,,,,,1.852,216
,,,,,,,,,,1.867,216
,,,,,,,,,,1.885,216
,,,,,,,,,,1.902,214
,,,,,,,,,,1.917,214
,,,,,,,,,,1.933,214
,,,,,,,,,,1.95,212
,,,,,,,,,,1.968,210
,,,,,,,,,,1.983,210
,,,,,,,,,,2.001,208
,,,,,,,,,,2.017,206
,,,,,,,,,,2.035,204
,,,,,,,,,,2.051,204
,,,,,,,,,,2.067,202
,,,,,,,,,,2.085,202
,,,,,,,,,,2.1,202
,,,,,,,,,,2.119,202
,,,,,,,,,,2.135,202
,,,,,,,,,,2.15,202
,,,,,,,,,,2.168,202
,,,,,,,,,,2.183,202
,,,,,,,,,,2.201,202
,,,,,,,,,,2.217,202
,,,,,,,,,,2.234,202
,,,,,,,,,,2.25,202
,,,,,,,,,,2.268,202
,,,,,,,,,,2.283,202
,,,,,,,,,,2.301,200
,,,,,,,,,,2.318,200
,,,,,,,,,,2.336,200
,,,,,,,,,,2.35,200
,,,,,,,,,,2.368,198
,,,,,,,,,,2.384,198
,,,,,,,,,,2.401,198
,,,,,,,,,,2.417,198
,,,,,,,,,,2.435,198
,,,,,,,,,,2.45,198
,,,,,,,,,,2.467,200
,,,,,,,,,,2.486,198
,,,,,,,,,,2.502,198
,,,,,,,,,,2.518,198
,,,,,,,,,,2.534,198
,,,,,,,,,,2.55,196
,,,,,,,,,,2.569,196
,,,,,,,,,,2.585,196
,,,,,,,,,,2.601,196
,,,,,,,,,,2.617,196
,,,,,,,,,,2.635,196
,,,,,,,,,,2.651,196
,,,,,,,,,,2.669,196
,,,,,,,,,,2.684,196
,,,,,,,,,,2.701,196
