Calibration,1,18h2m17s," "," ",,,,,,,,,
"Time, s",Light,Threshold,,,,,,,,Time,ThreshHold,Time,ThreshHold
0.508,222,221,,,,,,,,0.001,198,0.001,256
1.013,222,221,,,,,,,,0.005,198,0.005,256
1.515,222,221,,,,,,,,0.022,198,0.021,258
2.019,222,221,,,,,,,,0.039,198,0.038,260
2.523,222,221,,,,,,,,0.055,196,0.055,260
3.027,224,222,,,,,,,,0.072,196,0.073,260
3.531,196,208,,,,,,,,0.088,198,0.088,260
4.034,198,209,,,,,,,,0.105,202,0.106,260
4.538,200,210,,,,,,,,0.121,204,0.121,260
5.042,200,210,,,,,,,,0.138,204,0.139,264
5.545,198,209,,,,,,,,0.155,204,0.156,262
6.048,198,209,,,,,,,,0.172,204,0.172,262
6.552,200,210,,,,,,,,0.189,204,0.188,260
7.055,198,209,,,,,,,,0.205,204,0.205,260
7.559,198,209,,,,,,,,0.221,202,0.222,260
8.062,198,209,,,,,,,,0.239,202,0.239,260
8.566,200,210,,,,,,,,0.254,202,0.255,260
9.069,198,209,,,,,,,,0.272,200,0.272,258
9.572,198,209,,,,,,,,0.289,200,0.288,256
10.075,198,209,,,,,,,,0.305,200,0.305,254
10.579,198,209,,,,,,,,0.322,198,0.322,252
11.082,198,209,,,,,,,,0.339,198,0.338,250
11.585,198,209,,,,,,,,0.356,198,0.356,250
12.089,198,209,,,,,,,,0.372,198,0.372,250
12.593,198,209,,,,,,,,0.388,198,0.389,248
13.096,198,209,,,,,,,,0.405,196,0.406,248
13.599,198,209,,,,,,,,0.421,196,0.422,244
14.102,200,210,,,,,,,,0.439,198,0.439,242
14.603,198,209,,,,,,,,0.455,198,0.456,240
15.106,198,209,,,,,,,,0.472,198,0.472,240
15.609,198,209,,,,,,,,0.488,198,0.49,238
16.113,198,209,,,,,,,,0.505,198,0.505,238
16.616,198,209,,,,,,,,0.521,200,0.523,236
17.12,140,180,,,,,,,,0.539,200,0.538,236
17.624,208,214,,,,,,,,0.555,198,0.556,236
18.127,204,212,,,,,,,,0.572,198,0.572,234
18.631,134,177,,,,,,,,0.588,198,0.589,234
19.134,96,158,,,,,,,,0.605,200,0.606,232
19.637,98,159,,,,,,,,0.622,200,0.622,232
20.141,98,159,,,,,,,,0.638,200,0.639,230
20.645,98,159,,,,,,,,0.655,200,0.655,230
21.149,98,159,,,,,,,,0.672,200,0.672,228
21.652,96,158,,,,,,,,0.688,200,0.689,226
22.155,58,139,,,,,,,,0.706,200,0.706,226
22.658,56,138,,,,,,,,0.722,200,0.721,224
23.161,58,139,,,,,,,,0.739,200,0.739,224
23.665,54,137,,,,,,,,0.754,202,0.755,224
24.168,54,137,,,,,,,,0.771,200,0.772,222
24.672,52,136,,,,,,,,0.787,200,0.788,224
Set 0,18h2m51s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,0.806,200,0.805,224
Trial,"Time, s",,,,,,,,,0.821,200,0.822,226
1,11.673,,,,,,,,,0.838,200,0.838,226
2,11.673,,,,,,,,,0.855,202,0.856,226
3,4.456,,,,,,,,,0.872,202,0.871,228
Set 1,18h3m16s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,0.888,200,0.889,228
Trial,"Time, s",,,,,,,,,0.906,202,0.905,228
1,6.655,,,,,,,,,0.921,200,0.922,228
2,2.138,,,,,,,,,0.938,202,0.939,228
3,2.138,,,,,,,,,0.954,202,0.955,226
,,,,,,,,,,0.972,202,0.971,228
,,,,,,,,,,0.989,200,0.988,228
,,,,,,,,,,1.004,202,1.006,226
,,,,,,,,,,1.021,202,1.022,228
,,,,,,,,,,1.039,202,1.038,226
,,,,,,,,,,1.055,202,1.055,226
,,,,,,,,,,1.072,200,1.072,226
,,,,,,,,,,1.089,202,1.087,226
,,,,,,,,,,1.105,202,1.104,226
,,,,,,,,,,1.121,202,1.122,226
,,,,,,,,,,1.138,202,1.138,226
,,,,,,,,,,1.154,202,1.156,226
,,,,,,,,,,1.171,202,1.171,224
,,,,,,,,,,1.189,202,1.188,224
,,,,,,,,,,1.205,202,1.205,224
,,,,,,,,,,1.221,202,1.222,222
,,,,,,,,,,1.238,202,1.239,222
,,,,,,,,,,1.255,202,1.255,222
,,,,,,,,,,1.272,202,1.272,220
,,,,,,,,,,1.288,202,1.29,222
,,,,,,,,,,1.305,202,1.306,222
,,,,,,,,,,1.321,202,1.322,222
,,,,,,,,,,1.339,202,1.338,222
,,,,,,,,,,1.354,202,1.357,222
,,,,,,,,,,1.371,202,1.371,222
