Calibration,1,16h44m58s," "," ",Calibration,2,16h46m29s," "," ",Calibration,3,16h47m28s," "," ",Calibration,4,16h47m38s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.503,648,651,,,0.504,194,194,,,0.508,189,189,,,0.506,193,192,,
1.011,722,688,,,1.004,195,194,,,1.014,191,190,,,1.009,197,194,,
1.517,715,685,,,1.505,197,195,,,1.515,192,190,,,1.509,199,195,,
2.023,729,692,,,2.011,198,196,,,2.029,192,190,,,2.014,199,195,,
2.531,728,691,,,2.522,196,195,,,2.536,190,189,,,,,,,
3.035,732,693,,,3.037,195,194,,,3.056,191,190,,,,,,,
3.547,732,693,,,3.545,198,196,,,3.56,195,192,,,,,,,
4.048,646,650,,,4.049,198,196,,,4.066,199,194,,,,,,,
4.548,324,489,,,4.556,197,195,,,4.574,198,193,,,,,,,
5.049,348,501,,,5.064,198,196,,,,,,,,,,,,
5.554,348,501,,,5.572,196,195,,,,,,,,,,,,
6.057,349,502,,,6.075,198,196,,,,,,,,,,,,
6.563,331,493,,,6.595,194,194,,,,,,,,,,,,
7.069,277,466,,,7.097,195,194,,,,,,,,,,,,
7.577,207,431,,,7.6,197,195,,,,,,,,,,,,
8.085,-50,302,,,8.103,197,195,,,,,,,,,,,,
8.593,-50,302,,,8.612,196,195,,,,,,,,,,,,
9.098,213,434,,,9.116,192,193,,,,,,,,,,,,
9.618,-50,302,,,9.624,188,191,,,,,,,,,,,,
10.136,-50,302,,,10.132,188,191,,,,,,,,,,,,
10.639,212,433,,,10.635,190,192,,,,,,,,,,,,
11.14,212,433,,,11.142,197,195,,,,,,,,,,,,
11.643,-50,302,,,11.643,194,194,,,,,,,,,,,,
12.148,211,433,,,12.144,195,194,,,,,,,,,,,,
12.65,212,433,,,12.648,235,214,,,,,,,,,,,,
13.155,-50,302,,,13.154,429,311,,,,,,,,,,,,
13.658,-50,302,,,13.662,648,421,,,,,,,,,,,,
14.166,211,433,,,14.17,702,448,,,,,,,,,,,,
Set 0,16h45m13s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",14.674,728,461,,,,,,,,,,,,
Trial,"Time, s",,,,15.182,683,438,,,,,,,,,,,,
1,0.0,,,,15.689,596,395,,,,,,,,,,,,
2,0.0,,,,16.192,612,403,,,,,,,,,,,,
3,0.0,,,,16.695,590,392,,,,,,,,,,,,
4,0.0,,,,17.198,664,429,,,,,,,,,,,,
,,,,,17.705,433,313,,,,,,,,,,,,
,,,,,18.212,468,331,,,,,,,,,,,,
,,,,,18.72,438,316,,,,,,,,,,,,
,,,,,19.229,446,320,,,,,,,,,,,,
,,,,,19.733,424,309,,,,,,,,,,,,
,,,,,20.241,390,292,,,,,,,,,,,,
,,,,,20.746,303,248,,,,,,,,,,,,
,,,,,21.255,296,245,,,,,,,,,,,,
,,,,,21.755,435,314,,,,,,,,,,,,
,,,,,22.26,680,437,,,,,,,,,,,,
,,,,,22.779,713,453,,,,,,,,,,,,
,,,,,23.283,751,472,,,,,,,,,,,,
,,,,,23.791,748,471,,,,,,,,,,,,
,,,,,24.294,746,470,,,,,,,,,,,,
,,,,,24.798,739,466,,,,,,,,,,,,
,,,,,25.304,714,454,,,,,,,,,,,,
,,,,,25.814,702,448,,,,,,,,,,,,
,,,,,26.32,711,452,,,,,,,,,,,,
,,,,,26.839,689,441,,,,,,,,,,,,
,,,,,27.342,680,437,,,,,,,,,,,,
,,,,,27.846,732,463,,,,,,,,,,,,
,,,,,28.35,730,462,,,,,,,,,,,,
,,,,,28.857,734,464,,,,,,,,,,,,
,,,,,29.365,627,410,,,,,,,,,,,,
,,,,,29.873,333,263,,,,,,,,,,,,
,,,,,30.381,320,257,,,,,,,,,,,,
,,,,,30.889,662,428,,,,,,,,,,,,
,,,,,31.392,652,423,,,,,,,,,,,,
,,,,,31.892,727,460,,,,,,,,,,,,
,,,,,32.408,719,456,,,,,,,,,,,,
,,,,,32.923,726,460,,,,,,,,,,,,
,,,,,33.427,723,458,,,,,,,,,,,,
,,,,,33.942,727,460,,,,,,,,,,,,
,,,,,34.455,731,462,,,,,,,,,,,,
,,,,,34.957,711,452,,,,,,,,,,,,
,,,,,35.476,710,452,,,,,,,,,,,,
,,,,,35.979,710,452,,,,,,,,,,,,
,,,,,36.504,690,442,,,,,,,,,,,,
,,,,,37.01,477,335,,,,,,,,,,,,
,,,,,37.513,391,292,,,,,,,,,,,,
,,,,,38.017,673,433,,,,,,,,,,,,
,,,,,38.523,728,461,,,,,,,,,,,,
,,,,,39.031,717,455,,,,,,,,,,,,
,,,,,39.535,719,456,,,,,,,,,,,,
,,,,,40.042,457,325,,,,,,,,,,,,
,,,,,40.558,341,267,,,,,,,,,,,,
,,,,,41.058,324,259,,,,,,,,,,,,
,,,,,41.561,282,238,,,,,,,,,,,,
,,,,,42.063,317,255,,,,,,,,,,,,
,,,,,42.565,305,249,,,,,,,,,,,,
,,,,,43.069,329,261,,,,,,,,,,,,
,,,,,43.581,304,249,,,,,,,,,,,,
,,,,,44.089,283,238,,,,,,,,,,,,
,,,,,44.6,698,446,,,,,,,,,,,,
,,,,,45.108,672,433,,,,,,,,,,,,
,,,,,45.608,661,427,,,,,,,,,,,,
,,,,,46.112,724,459,,,,,,,,,,,,
,,,,,46.621,728,461,,,,,,,,,,,,
,,,,,47.123,730,462,,,,,,,,,,,,
,,,,,47.629,389,291,,,,,,,,,,,,
,,,,,48.135,304,249,,,,,,,,,,,,
,,,,,48.643,228,211,,,,,,,,,,,,
,,,,,49.151,194,194,,,,,,,,,,,,
,,,,,49.658,191,192,,,,,,,,,,,,
,,,,,50.158,189,191,,,,,,,,,,,,
,,,,,50.66,188,191,,,,,,,,,,,,
,,,,,51.163,192,193,,,,,,,,,,,,
,,,,,51.666,196,195,,,,,,,,,,,,
,,,,,52.171,193,193,,,,,,,,,,,,
,,,,,52.676,196,195,,,,,,,,,,,,
,,,,,53.177,196,195,,,,,,,,,,,,
,,,,,53.679,196,195,,,,,,,,,,,,
